35:1.0, NaN, G-4, NaN, Rest
35:1.5, G5, NaN, F3, NaN
35:1.75, NaN, NaN, E-3, NaN
35:2.0, G5, G-4, D3, Rest
35:2.5, F5, NaN, E-3, NaN
36:0.0, F5, A-4, E-3, C3
36:0.5, E5, NaN, NaN, NaN
36:1.0, E5, NaN, NaN, NaN
36:1.5, D5, NaN, NaN, D3
36:1.75, NaN, NaN, NaN, C3
36:2.0, C5, NaN, NaN, B2
36:2.5, B-4, NaN, NaN, C3
37:0.0, A4, G4, E-3, C#3
37:1.0, NaN, A-4, NaN, A2
37:1.5, NaN, NaN, F3, NaN
37:1.75, NaN, NaN, E-3, NaN
37:2.0, NaN, A4, D3, C#3
37:2.5, NaN, NaN, E-3, NaN
38:0.0, NaN, G4, E-3, D3
38:0.5, B4, NaN, NaN, NaN
38:0.75, C#5, NaN, NaN, NaN
38:1.0, D5, Rest, NaN, Rest
38:1.25, E5, NaN, NaN, NaN
38:1.5, F5, D4, NaN, NaN
38:1.75, E5, NaN, NaN, NaN
38:2.0, D5, D4, NaN, Rest
38:2.25, C5, NaN, NaN, NaN
38:2.5, B4, E-4, NaN, NaN
38:2.75, A4, NaN, NaN, NaN
39:0.0, G4, D4, E-3, B2
39:1.0, NaN, Rest, NaN, G2
39:1.5, NaN, D5, F3, NaN
39:1.75, NaN, NaN, E-3, NaN
39:2.0, NaN, D5, D3, B2
39:2.5, NaN, E-5, E-3, NaN
40:0.0, NaN, D5, E-3, C3
40:0.5, A4, NaN, NaN, NaN
40:0.75, B4, NaN, NaN, NaN
40:1.0, C5, Rest, A4, Rest
40:1.25, B4, NaN, NaN, NaN
40:1.5, C5, D4, NaN, NaN
40:1.75, B4, NaN, NaN, NaN
40:2.0, C5, D4, A4, Rest
40:2.25, B4, NaN, NaN, NaN
40:2.5, C5, E-4, NaN, NaN
40:2.75, B4, NaN, NaN, NaN
41:0.0, C5, D4, B3, A-2
41:1.0, NaN, Rest, NaN, NaN
41:1.5, NaN, D5, NaN, NaN
41:2.0, NaN, D5, NaN, NaN
41:2.5, NaN, E-5, NaN, NaN
42:0.0, NaN, D5, C4, NaN
42:1.0, NaN, Rest, F4, NaN
