22:2.0, E5, D4, NaN, NaN
22:2.5, F5, NaN, NaN, NaN
23:0.0, Rest, D4, Rest, Rest
23:1.5, NaN, E-4, NaN, NaN
23:1.75, NaN, D4, NaN, NaN
23:2.0, NaN, C#4, NaN, NaN
23:2.5, NaN, D4, NaN, NaN
24:0.0, G5, F4, B-3, C#3
24:1.5, A5, NaN, NaN, NaN
24:1.75, G5, NaN, NaN, NaN
24:2.0, F#5, E4, NaN, NaN
24:2.5, G5, NaN, NaN, NaN
25:0.0, Rest, G4, Rest, Rest
25:1.5, NaN, A4, NaN, NaN
25:1.75, NaN, G4, NaN, NaN
25:2.0, NaN, F#4, NaN, NaN
25:2.5, NaN, G4, NaN, NaN
26:0.0, C6, B-4, E-4, F3
26:1.5, D6, NaN, NaN, NaN
26:1.75, C6, NaN, NaN, NaN
26:2.0, B5, A4, E-4, F2
26:2.5, C6, NaN, NaN, NaN
27:0.0, D6, C5, F#4, B-3
27:1.5, E-6, NaN, NaN, NaN
27:1.75, D6, NaN, NaN, NaN
27:2.0, C#6, B-4, G4, B-2
27:2.5, D6, NaN, NaN, NaN
28:0.0, E6, A4, B-3, A2
28:0.5, NaN, G4, NaN, NaN
28:1.0, E6, A4, B-3, A2
28:1.5, NaN, G4, NaN, NaN
28:2.0, E6, A4, B-3, A2
28:2.5, NaN, G4, NaN, NaN
29:0.0, F6, F4, A3, F2
29:0.5, NaN, A3, C4, NaN
29:1.0, Rest, A3, C4, Rest
29:1.5, NaN, A3, C4, NaN
29:2.0, Rest, A3, C4, Rest
29:2.5, NaN, A3, C4, NaN
30:0.0, Rest, A3, C4, C3
30:0.5, NaN, A3, C4, NaN
30:1.0, Rest, A3, C4, NaN
30:1.5, A4, A3, C4, D3
30:1.75, NaN, NaN, NaN, C3
30:2.0, A4, A3, C4, B2
30:2.5, NaN, A3, C4, C3
31:0.0, C5, G3, C4, C2
31:0.5, NaN, G3, C4, NaN
31:1.0, NaN, G3, C4, Rest
31:1.5, B-4, G3, C4, NaN
31:2.0, G4, G3, C4, Rest
31:2.5, F4, G3, C4, NaN
32:0.0, E4, G3, C4, C3
32:0.5, NaN, G3, C4, NaN
32:1.0, Rest, G3, C4, NaN
32:1.5, B-4, G3, C4, D3
32:1.75, NaN, NaN, NaN, C3
32:2.0, B-4, G3, C4, B2
32:2.5, NaN, G3, C4, C3
33:0.0, D5, A3, C4, C2
33:0.5, NaN, A3, C4, NaN
33:1.0, NaN, A3, C4, Rest
33:1.5, C5, A3, C4, NaN
33:2.0, A4, A3, C4, Rest
33:2.5, G4, A3, C4, NaN
34:0.0, F4, A3, C4, C3
34:0.5, NaN, A3, C4, NaN
34:1.0, Rest, A3, C4, NaN
34:1.5, F5, A3, C4, D3
34:1.75, NaN, NaN, NaN, C3
34:2.0, F5, A3, C4, B2
34:2.5, NaN, A3, C4, C3
35:0.0, A5, B-3, E4, C2
35:0.5, NaN, B-3, E4, NaN
35:1.0, NaN, B-3, E4, Rest
35:1.5, G5, B-3, E4, NaN
35:2.0, G5, B-3, E4, Rest
35:2.5, F5, B-3, E4, NaN
36:0.0, F5, B-3, E4, C3
36:0.5, E5, B-3, E4, NaN
36:1.0, E5, B-3, E4, NaN
36:1.5, D5, B-3, E4, D3
36:1.75, NaN, NaN, NaN, C3
36:2.0, C5, B-3, E4, B2
36:2.5, B-4, B-3, E4, C3
37:0.0, A4, A3, E4, C#3
37:0.5, NaN, A3, E4, NaN
37:1.0, NaN, A3, C#4, A2
37:1.5, NaN, A3, C#4, NaN
37:2.0, NaN, A3, E4, C#3
37:2.5, NaN, A3, E4, NaN
38:0.0, NaN, A3, D4, D3
38:0.5, B4, A3, D4, NaN
38:0.75, C#5, NaN, NaN, NaN
38:1.0, D5, A3, D4, Rest
38:1.25, E5, NaN, NaN, NaN
38:1.5, F5, A3, D4, NaN
38:1.75, E5, NaN, NaN, NaN
38:2.0, D5, A3, D4, Rest
38:2.25, C5, NaN, NaN, NaN
38:2.5, B4, A3, D4, NaN
38:2.75, A4, NaN, NaN, NaN
39:0.0, G4, G3, D4, B2
39:0.5, NaN, G3, D4, NaN
39:1.0, NaN, G3, B3, G2
39:1.5, NaN, G3, B3, NaN
39:2.0, NaN, G3, D4, B2
39:2.5, NaN, G3, D4, NaN
40:0.0, NaN, G3, C4, C3
40:0.5, A4, G3, C4, NaN
40:0.75, B4, NaN, NaN, NaN
40:1.0, C5, G3, C4, Rest
40:1.25, B4, NaN, NaN, NaN
40:1.5, C5, G3, C4, NaN
40:1.75, B4, NaN, NaN, NaN
40:2.0, C5, G3, C4, Rest
40:2.25, B4, NaN, NaN, NaN
40:2.5, C5, G3, C4, NaN
40:2.75, B4, NaN, NaN, NaN
41:0.0, C5, C4, E-3, A-2
41:1.5, NaN, NaN, F3, NaN
41:1.75, NaN, NaN, E-3, NaN
41:2.0, NaN, NaN, D3, NaN
41:2.5, NaN, NaN, E-3, NaN
42:0.0, C5, C4, E-3, NaN
42:1.0, NaN, C4, NaN, NaN
42:1.5, D-5, NaN, NaN, NaN
42:1.75, C5, NaN, NaN, NaN
42:2.0, B-4, C4, NaN, NaN
42:2.5, C5, NaN, NaN, NaN
43:0.0, E-5, D-4, E-3, B-2
43:1.5, D-5, NaN, F3, NaN
43:1.75, NaN, NaN, E-3, NaN
43:2.0, B-4, NaN, D3, NaN
43:2.5, A-4, NaN, E-3, NaN
44:0.0, G4, NaN, E-3, NaN
44:1.0, Rest, D-4, NaN, NaN
44:1.5, E-5, NaN, NaN, NaN
44:1.75, D-5, NaN, NaN, NaN
44:2.0, C5, D-4, NaN, NaN
44:2.5, D-5, NaN, NaN, NaN
45:0.0, F5, E-4, E-3, C3
45:1.5, E-5, NaN, F3, NaN
45:1.75, NaN, NaN, E-3, NaN
45:2.0, C5, NaN, D3, NaN
45:2.5, B-4, NaN, E-3, NaN
46:0.0, A4, NaN, E-3, NaN
46:1.0, Rest, G-4, A4, C3
46:1.5, F5, NaN, NaN, NaN
46:1.75, E-5, NaN, NaN, NaN
46:2.0, D5, G-4, A4, C3
46:2.5, E-5, NaN, NaN, NaN
47:0.0, F5, A-4, B3, D3
48:0.0, E-5, G4, C4, E-3
48:1.0, D5, A-4, F4, F3
48:2.0, C5, A4, E-4, F#3
49:0.0, B4, G4, D4, G3
49:0.25, G4, NaN, NaN, NaN
49:0.5, A4, NaN, NaN, NaN
49:0.75, B4, NaN, NaN, NaN
49:1.0, C5, Rest, Rest, Rest
49:1.25, D5, NaN, NaN, NaN
49:1.5, E5, D4, B3, NaN
49:1.75, F#5, NaN, NaN, NaN
49:2.0, G5, D4, B3, Rest
49:2.25, F#5, NaN, NaN, NaN
49:2.5, G5, E-4, C4, NaN
49:2.75, F#5, NaN, NaN, NaN
50:0.0, G5, D4, B3, G3
50:0.25, NaN, NaN, NaN, G2
50:0.5, NaN, NaN, NaN, A2
50:0.75, NaN, NaN, NaN, B2
50:1.0, Rest, Rest, Rest, C3
50:1.25, NaN, NaN, NaN, D3
50:1.5, B5, D5, G4, E3
50:1.75, NaN, NaN, NaN, F#3
50:2.0, B5, D5, G4, G3
50:2.25, NaN, NaN, NaN, F#3
50:2.5, C6, E-5, G4, G3
50:2.75, NaN, NaN, NaN, F#3
51:0.0, B5, D5, G4, G3
51:0.25, G4, NaN, NaN, NaN
51:0.5, A4, NaN, NaN, NaN
51:0.75, B4, NaN, NaN, NaN
51:1.0, C5, Rest, Rest, Rest
51:1.25, D5, NaN, NaN, NaN
51:1.5, E5, D4, B3, NaN
51:1.75, F#5, NaN, NaN, NaN
51:2.0, G5, D4, B3, Rest
51:2.25, F#5, NaN, NaN, NaN
51:2.5, G5, E-4, C4, NaN
51:2.75, F#5, NaN, NaN, NaN
52:0.0, G5, D4, B3, G3
52:0.25, NaN, NaN, NaN, G2
52:0.5, NaN, NaN, NaN, A2
52:0.75, NaN, NaN, NaN, B2
52:1.0, Rest, Rest, Rest, C3
52:1.25, NaN, NaN, NaN, D3
52:1.5, B5, D5, G4, E3
52:1.75, NaN, NaN, NaN, F#3
52:2.0, B5, D5, G4, G3
52:2.25, NaN, NaN, NaN, F#3
52:2.5, C6, E-5, G4, G3
52:2.75, NaN, NaN, NaN, F#3
53:0.0, B5, D5, G4, G3
53:0.25, G3, NaN, NaN, NaN
53:0.5, A3, NaN, NaN, NaN
53:0.75, B3, NaN, NaN, NaN
53:1.0, C4, Rest, Rest, Rest
53:1.25, D4, NaN, NaN, NaN
53:1.5, E4, D5, B3, G3
53:1.75, F#4, NaN, NaN, NaN
53:2.0, G4, D5, B3, G3
53:2.25, F#4, NaN, NaN, NaN
53:2.5, G4, E-5, C4, C3
53:2.75, F#4, NaN, NaN, NaN
54:0.0, G4, D5, B3, G3
54:0.25, G4, G3, G3, G2
54:0.5, A4, A3, A3, A2
54:0.75, B4, B3, B3, B2
54:1.0, C5, C4, C4, C3
54:1.25, D5, D4, D4, D3
54:1.5, E5, E4, E4, E3
54:1.75, F#5, F#4, F#4, F#3
54:2.0, G5, G4, G4, G3
54:2.25, F#5, F#4, F#4, F#3
54:2.5, G5, G4, G4, G3
54:2.75, F#5, F#4, F#4, F#3
55:0.0, G5, G4, G4, G3
55:0.5, G5, NaN, NaN, NaN
55:1.0, NaN, Rest, Rest, Rest
55:1.5, G5, NaN, NaN, NaN
55:2.0, NaN, Rest, NaN, Rest
55:2.5, G5, NaN, NaN, NaN
56:0.0, G#5, Rest, Rest, Rest
56:0.5, G#5, NaN, NaN, NaN
56:1.5, G#5, NaN, NaN, NaN
56:2.5, G#5, NaN, NaN, NaN
57:0.0, A5, Rest, Rest, Rest
57:0.5, A5, NaN, NaN, NaN
57:1.0, F5, NaN, NaN, NaN
57:1.5, F5, NaN, NaN, NaN
57:2.0, D5, NaN, NaN, NaN
57:2.5, D5, NaN, NaN, NaN
58:0.0, B4, Rest, Rest, Rest
58:0.5, B4, NaN, NaN, NaN
58:1.0, G4, Rest, Rest, NaN
58:1.5, G4, NaN, NaN, NaN
58:2.0, B4, G4, F4, NaN
58:2.5, B4, G4, F4, NaN
59:0.0, C5, NaN, E4, Rest
59:0.5, C5, G4, E4, NaN
